"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"11/09/2021","AQS","450190020","1","15.5","ug/m3 LC","58","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/10/2021","AQS","450190020","1","13.6","ug/m3 LC","54","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/11/2021","AQS","450190020","1","8.1","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/12/2021","AQS","450190020","1","7.1","ug/m3 LC","30","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/13/2021","AQS","450190020","1","10.7","ug/m3 LC","45","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/14/2021","AQS","450190020","1","7.5","ug/m3 LC","31","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/15/2021","AQS","450190020","1","6.6","ug/m3 LC","28","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/16/2021","AQS","450190020","1","10.9","ug/m3 LC","45","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/18/2021","AQS","450190020","1","8.9","ug/m3 LC","37","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/19/2021","AQS","450190020","1","5.3","ug/m3 LC","22","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/20/2021","AQS","450190020","1","5.3","ug/m3 LC","22","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/21/2021","AQS","450190020","1","6.9","ug/m3 LC","29","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/22/2021","AQS","450190020","1","8.5","ug/m3 LC","35","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/23/2021","AQS","450190020","1","6.5","ug/m3 LC","27","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/24/2021","AQS","450190020","1","10.1","ug/m3 LC","42","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"11/30/2021","AQS","450190020","1","10.4","ug/m3 LC","43","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/01/2021","AQS","450190020","1","16.1","ug/m3 LC","59","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/02/2021","AQS","450190020","1","14.5","ug/m3 LC","56","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/03/2021","AQS","450190020","1","16.1","ug/m3 LC","59","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/04/2021","AQS","450190020","1","20.1","ug/m3 LC","68","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/05/2021","AQS","450190020","1","18.5","ug/m3 LC","64","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/06/2021","AQS","450190020","1","18.1","ug/m3 LC","64","","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
